Gamma_e,delta_a,delta_f,OmegaA,OmegaB,MuB,peak_index,peak_position
0.01,23.5,23.4999908930902,0.0146235660646939,1.46255969972214,0.0,0,-11.74999544707515
0.01,23.5,23.4999908930902,0.0146235660646939,1.46255969972214,0.0,1,11.749995446545292
0.01,24.0,23.9999910819341,0.0146235585822836,1.46255588115962,0.0,0,-11.999995541531609
0.01,24.0,23.9999910819341,0.0146235585822836,1.46255588115962,0.0,1,11.999995540966678
0.01,24.5,24.4999912609697,0.0146235752709946,1.46255855648801,0.0,0,-12.249995631085536
0.01,24.5,24.4999912609697,0.0146235752709946,1.46255855648801,0.0,1,12.249995630484756
0.0178,0.5,0.499579377989407,0.0260182228861383,1.44276353286039,0.0,0,-0.24978517090892788
0.0178,0.5,0.499579377989407,0.0260182228861383,1.44276353286039,0.0,1,0.24978810104924334
0.0178,1.0,0.999390008828649,0.0260262782987876,1.46374201543423,0.0,0,-0.49968848704339114
0.0178,1.0,0.999390008828649,0.0260262782987876,1.46374201543423,0.0,1,0.4996970705958494
0.0178,1.5,1.49942579382016,0.026030270455888,1.47942665826776,0.0,0,-0.7497114753412302
0.0178,1.5,1.49942579382016,0.026030270455888,1.47942665826776,0.0,1,0.7497126524334929
0.0178,2.0,1.99955809719498,0.0260054506272382,1.47656820152312,0.0,0,-0.9997798344066603
0.0178,2.0,1.99955809719498,0.0260054506272382,1.47656820152312,0.0,1,0.9997798344066601
0.0178,2.5,2.49967753112232,0.0260293749804553,1.46655353537061,0.0,0,-1.2498386644231192
0.0178,2.5,2.49967753112232,0.0260293749804553,1.46655353537061,0.0,1,1.2498387655646697
0.0178,3.0,2.99975229422748,0.0260282772904019,1.46201533137836,0.0,0,-1.4998761380982413
0.0178,3.0,2.99975229422748,0.0260282772904019,1.46201533137836,0.0,1,1.4998761471122501
0.0178,3.5,3.49979613281194,0.0257543545328592,1.36288853840993,0.0,0,-1.7498980662996628
0.0178,3.5,3.49979613281194,0.0257543545328592,1.36288853840993,0.0,1,1.7498980664011845
0.0178,4.0,3.99982424878946,0.0260271111655578,1.4622831247491,0.0,0,-1.9999121243782678
0.0178,4.0,3.99982424878946,0.0260271111655578,1.4622831247491,0.0,1,1.9999121243925508
0.0178,4.5,4.49984511247653,0.0260268722151328,1.46256432160748,0.0,0,-2.249922556239067
0.0178,4.5,4.49984511247653,0.0260268722151328,1.46256432160748,0.0,1,2.2499225562397225
0.0178,5.0,4.99986171592169,0.0260015553233014,1.46266808973197,0.0,0,-2.4999308579624606
0.0178,5.0,4.99986171592169,0.0260015553233014,1.46266808973197,0.0,1,2.4999308579609694
0.0178,5.5,5.49987456527201,0.0260265529163296,1.46271525099876,0.0,0,-2.749937282638145
0.0178,5.5,5.49987456527201,0.0260265529163296,1.46271525099876,0.0,1,2.749937282639151
0.0178,6.0,5.99988551802496,0.0260013254941624,1.46273863392925,0.0,0,-2.99994275901527
0.0178,6.0,5.99988551802496,0.0260013254941624,1.46273863392925,0.0,1,2.9999427590129226
0.0178,6.5,6.49989441805165,0.0260264123581195,1.46275117649155,0.0,0,-3.2499472090293615
0.0178,6.5,6.49989441805165,0.0260264123581195,1.46275117649155,0.0,1,3.249947209026039
0.0178,7.0,6.9999023208412,0.026001204083207,1.46275989650072,0.0,0,-3.4999511604250313
0.0178,7.0,6.9999023208412,0.026001204083207,1.46275989650072,0.0,1,3.499951160420064
0.0178,7.5,7.49990884371996,0.0260263618247254,1.46276352841364,0.0,0,-3.7499544218654193
0.0178,7.5,7.49990884371996,0.0260263618247254,1.46276352841364,0.0,1,3.7499544218599317
0.0178,8.0,7.99991478185611,0.0260011285099397,1.46276679965508,0.0,0,-3.9999573909346737
0.0178,8.0,7.99991478185611,0.0260011285099397,1.46276679965508,0.0,1,3.9999573909277215
0.0178,8.5,8.49991971496783,0.0260262901412701,1.46276950776654,0.0,0,-4.249959857491828
